STNID;STN;WBAN;YEARMODA;TEMPC;TEMP.count;PREC;PREC.flag;DATE;STATION.NAME;LAT;LON;ELEV..1M.
110162-99999;110162;99999;20080802;22.7;11;NA;no flag;2008-08-02;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080804;27.3;11;0;I;2008-08-04;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080806;24.7;12;0;I;2008-08-06;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080808;23.1;12;NA;no flag;2008-08-08;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080805;21.5;12;NA;no flag;2008-08-05;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080810;22.8;12;0;I;2008-08-10;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080801;26.8;12;0;I;2008-08-01;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080803;25.5;12;0;I;2008-08-03;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080809;18.4;12;0;I;2008-08-09;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080624;25;11;NA;no flag;2008-06-24;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080625;27.3;12;0;I;2008-06-25;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080807;26.8;11;0;I;2008-08-07;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080623;28.6;12;0;I;2008-06-23;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080628;23.6;12;0;I;2008-06-28;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080629;26.8;12;0;I;2008-06-29;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080811;24.8;12;0;I;2008-08-11;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080725;20.7;12;0;I;2008-07-25;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080813;21;12;0;I;2008-08-13;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080731;24.8;12;NA;no flag;2008-07-31;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080814;24.2;12;0;I;2008-08-14;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080622;27.9;12;0;I;2008-06-22;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080816;14.7;12;0;I;2008-08-16;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080817;20.2;12;0;I;2008-08-17;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080818;23.4;12;0;I;2008-08-18;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080626;24.3;12;NA;no flag;2008-06-26;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080627;23.4;12;NA;no flag;2008-06-27;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20081122;0.8;7;0;I;2008-11-22;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080726;22.8;12;0;I;2008-07-26;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080630;22.6;11;NA;no flag;2008-06-30;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080812;26.7;12;0;I;2008-08-12;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080702;26.4;12;0;I;2008-07-02;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080703;27.8;12;NA;no flag;2008-07-03;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20081128;1;8;0;I;2008-11-28;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080815;22;12;NA;no flag;2008-08-15;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20081130;8.3;8;0;I;2008-11-30;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20081201;8.5;8;NA;no flag;2008-12-01;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20081202;6.8;8;0;I;2008-12-02;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20081203;5;8;0;I;2008-12-03;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20081204;-0.4;8;0;I;2008-12-04;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20081205;1.6;8;NA;no flag;2008-12-05;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20081206;6.4;8;0;I;2008-12-06;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20081207;4.8;6;NA;no flag;2008-12-07;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080701;24.8;12;0;I;2008-07-01;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080729;27.5;12;0;I;2008-07-29;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080730;25.5;12;0;I;2008-07-30;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20081211;2.6;7;NA;no flag;2008-12-11;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20081129;2;8;0;I;2008-11-29;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20081213;3.6;7;NA;no flag;2008-12-13;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20081214;4.1;8;NA;no flag;2008-12-14;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20081215;3.1;8;0;I;2008-12-15;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20081216;5.9;8;0;I;2008-12-16;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20081217;4.9;8;NA;no flag;2008-12-17;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080819;24.7;12;0;I;2008-08-19;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080820;20.3;12;NA;no flag;2008-08-20;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080821;22.8;12;0;I;2008-08-21;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20081208;3.6;8;NA;no flag;2008-12-08;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20081209;2.9;8;0;I;2008-12-09;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20081210;0;8;0;I;2008-12-10;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20081114;7.8;8;0;I;2008-11-14;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20081212;2.2;8;NA;no flag;2008-12-12;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20081116;9;8;0;I;2008-11-16;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080720;19;12;NA;no flag;2008-07-20;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080721;18.3;12;0;I;2008-07-21;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080722;16;11;0;I;2008-07-22;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080723;13.4;12;NA;no flag;2008-07-23;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080724;16.6;9;0;I;2008-07-24;LUGPLATZ VOSLAU;47.967;16.267;233
110162-99999;110162;99999;20080101;1;8;0;I;2008-01-01;LUGPLATZ VOSLAU;47.967;16.267;233
